,dataset,N_sp,N_seg,%_seg,%_sp
arabic,test,19,58,0.1554959785522788,0.12025316455696203
arabic,train,42,234,0.15304120340091562,0.12138728323699421
arabic,val,14,88,0.171875,0.11965811965811966
dutch,test,12,26,0.06970509383378017,0.0759493670886076
dutch,train,26,102,0.06671026814911707,0.07514450867052024
dutch,val,9,36,0.0703125,0.07692307692307693
english,test,19,37,0.09919571045576407,0.12025316455696203
english,train,42,77,0.050359712230215826,0.12138728323699421
english,val,14,24,0.046875,0.11965811965811966
french,test,16,33,0.08847184986595175,0.10126582278481013
french,train,35,160,0.10464355788096795,0.10115606936416185
french,val,12,54,0.10546875,0.10256410256410256
german,test,9,17,0.045576407506702415,0.056962025316455694
german,train,20,80,0.052321778940483975,0.057803468208092484
german,val,7,28,0.0546875,0.05982905982905983
korean,test,13,33,0.08847184986595175,0.08227848101265822
korean,train,29,158,0.10333551340745585,0.0838150289017341
korean,val,10,46,0.08984375,0.08547008547008547
mandarin,test,17,46,0.12332439678284182,0.10759493670886076
mandarin,train,36,186,0.12164813603662525,0.10404624277456648
mandarin,val,12,66,0.12890625,0.10256410256410256
portuguese,test,12,28,0.07506702412868632,0.0759493670886076
portuguese,train,27,120,0.07848266841072596,0.07803468208092486
portuguese,val,9,36,0.0703125,0.07692307692307693
russian,test,12,29,0.0777479892761394,0.0759493670886076
russian,train,27,124,0.08109875735775017,0.07803468208092486
russian,val,9,42,0.08203125,0.07692307692307693
spanish,test,19,44,0.11796246648793565,0.12025316455696203
spanish,train,42,200,0.13080444735120994,0.12138728323699421
spanish,val,14,62,0.12109375,0.11965811965811966
turkish,test,10,22,0.058981233243967826,0.06329113924050633
turkish,train,20,88,0.05755395683453238,0.057803468208092484
turkish,val,7,30,0.05859375,0.05982905982905983
